"","Acric Ferralsols","Acric Plinthosols","Albic Arenosols","Albic Luvisols","Alic Nitisols","Aluandic Andosols","Aric Regosols","Calcaric Regosols","Calcic Chernozems","Calcic Gleysols","Calcic Gypsisols","Calcic Histosols","Calcic Kastanozems","Calcic Luvisols","Calcic Solonetz","Calcic Vertisols","Cryic Histosols","Cutanic Alisols","Endogleyic Cambisols","Endogleyic Planosols","Ferralic Arenosols","Ferralic Cambisols","Fibric Histosols","Gleyic Luvisols","Gleyic Podzols","Gleyic Solonetz","Gypsic Solonchaks","Haplic Acrisols","Haplic Acrisols (Alumic)","Haplic Acrisols (Ferric)","Haplic Acrisols (Humic)","Haplic Albeluvisols","Haplic Alisols","Haplic Andosols","Haplic Arenosols","Haplic Arenosols (Calcaric)","Haplic Calcisols","Haplic Calcisols (Sodic)","Haplic Cambisols","Haplic Cambisols (Calcaric)","Haplic Cambisols (Chromic)","Haplic Cambisols (Dystric)","Haplic Cambisols (Eutric)","Haplic Cambisols (Humic)","Haplic Cambisols (Sodic)","Haplic Chernozems","Haplic Cryosols","Haplic Ferralsols","Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Xanthic)","Haplic Fluvisols","Haplic Fluvisols (Arenic)","Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Dystric)","Haplic Fluvisols (Eutric)","Haplic Gleysols","Haplic Gleysols (Dystric)","Haplic Gleysols (Eutric)","Haplic Gypsisols","Haplic Kastanozems","Haplic Leptosols","Haplic Leptosols (Eutric)","Haplic Lixisols","Haplic Lixisols (Chromic)","Haplic Lixisols (Ferric)","Haplic Luvisols","Haplic Luvisols (Chromic)","Haplic Luvisols (Ferric)","Haplic Nitisols (Rhodic)","Haplic Phaeozems","Haplic Planosols (Dystric)","Haplic Planosols (Eutric)","Haplic Podzols","Haplic Regosols (Dystric)","Haplic Regosols (Eutric)","Haplic Solonchaks","Haplic Solonchaks (Sodic)","Haplic Solonetz","Haplic Umbrisols","Haplic Vertisols","Haplic Vertisols (Eutric)","Hemic Histosols","Histic Albeluvisols","Hypoluvic Arenosols","Leptic Cambisols","Leptic Luvisols","Leptic Phaeozems","Leptic Regosols","Leptic Umbrisols","Lithic Leptosols","Lixic Plinthosols","Luvic Calcisols","Luvic Chernozems","Luvic Phaeozems","Luvic Planosols","Luvic Stagnosols","Mollic Gleysols","Mollic Leptosols","Mollic Solonetz","Mollic Vertisols","Petric Calcisols","Petric Durisols","Plinthic Acrisols","Protic Arenosols","Rendzic Leptosols","Sapric Histosols","Solodic Planosols","Stagnic Luvisols","Turbic Cryosols","Umbric Albeluvisols","Umbric Ferralsols","Umbric Gleysols","Vertic Cambisols","Vertic Luvisols","Vetic Acrisols","Vitric Andosols","Vitric Cryosols"
"Haplic Regosols (Eutric)",0,0,1,22,0,3,15,5,2,2,0,0,2,0,0,1,2,0,0,0,4,2,1,16,0,0,0,17,0,1,0,2,1,0,13,0,24,0,191,0,0,6,0,0,0,41,13,9,0,0,12,0,2,0,0,3,0,0,1,51,10,0,5,2,0,53,1,0,0,10,0,0,12,0,23,2,0,4,0,8,1,0,0,0,0,1,1,7,0,3,0,2,0,9,0,0,1,0,0,5,45,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3,0
"Haplic Solonchaks",0,0,0,1,0,1,31,24,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,7,0,22,0,7,0,0,0,0,0,1,2,0,4,0,0,23,0,5,0,0,1,0,1,35,7,6,0,0,0,0,4,0,0,0,5,0,0,0,0,1,56,103,5,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haplic Solonchaks (Sodic)",0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Solonetz",0,0,0,2,0,0,7,3,1,0,0,0,5,1,5,0,0,0,0,0,4,0,0,7,0,89,0,4,0,0,0,0,0,0,4,0,41,0,18,1,0,0,0,0,4,22,0,3,0,0,11,0,0,0,0,1,0,0,6,53,0,0,6,1,0,26,0,0,0,6,0,2,0,0,1,5,0,37,0,9,1,0,0,1,0,0,0,0,0,0,0,3,4,6,0,0,0,0,56,0,1,0,0,0,0,0,81,0,0,0,0,0,1,0,0,0,0
"Haplic Umbrisols",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Vertisols",0,0,0,0,0,0,6,4,3,0,0,0,2,0,1,34,0,0,0,0,1,0,0,2,0,0,0,21,0,0,0,0,0,0,6,0,16,0,42,3,0,0,0,0,0,1,3,12,0,0,20,0,1,0,0,2,0,0,1,25,4,0,8,0,0,43,0,0,0,7,0,1,1,0,1,3,1,0,0,274,400,0,0,1,0,4,20,3,0,25,0,4,0,6,0,0,0,0,0,13,7,0,0,0,3,0,0,1,0,1,0,0,1,2,0,0,0
"Haplic Vertisols (Eutric)",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,17,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,8,0,0,5,0,2,0,0,0,0,0,0,19,0,0,4,0,0,9,0,0,0,3,0,0,0,0,0,0,0,1,0,459,10,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Hemic Histosols",0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,1,21,37,0,0,0,6,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,23,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
"Histic Albeluvisols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Hypoluvic Arenosols",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,12,0,0,0,0,0,0,44,0,2,0,1,0,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0,0,0,1,0,0,5,0,15,0,1,13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptic Cambisols",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,13,0,15,0,0,38,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,8,19,12,0,4,0,0,0,0,0,0,0,0,0,0,24,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Leptic Luvisols",0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19,0,4,0,0,76,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,17,41,14,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Leptic Phaeozems",0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,47,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,14,64,18,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Leptic Regosols",0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,5,0,12,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,38,0,6,0,0,55,0,0,0,1,0,0,0,1,0,0,4,0,0,10,0,0,0,0,1,20,44,46,0,8,0,5,0,0,0,0,0,0,0,0,78,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Leptic Umbrisols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithic Leptosols",0,0,0,0,1,2,27,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,2,130,0,0,0,0,0,0,0,0,0,0,0,3,88,0,31,7,0,36,8,0,0,1,0,1,0,0,0,0,0,0,0,30,0,0,0,1,0,4,19,11,0,55,0,0,0,3,0,0,0,3,0,0,15,0,1,18,17,0,2,0,0,1,1,0,0,0,0,0,0
"Lixic Plinthosols",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Luvic Calcisols",0,0,0,0,0,0,9,6,12,0,0,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,80,1,25,2,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,1,44,5,0,1,0,0,38,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,1,0,0,0,1,0,1,0,31,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luvic Chernozems",0,0,0,1,0,0,0,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,10,0,1,0,48,0,0,0,0,0,0,43,0,3,0,0,5,0,0,0,0,0,0,0,0,81,1,0,0,1,0,18,0,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,58,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Luvic Phaeozems",0,0,0,1,3,3,2,0,23,0,0,0,0,0,0,5,0,0,0,0,1,0,0,9,0,0,0,38,0,0,0,5,2,0,8,0,4,0,37,0,0,0,0,0,0,11,0,30,0,0,2,0,0,0,0,0,0,1,0,16,5,0,16,5,0,92,0,0,2,24,0,1,0,0,2,0,0,1,0,20,0,0,0,2,0,2,11,2,0,3,0,0,47,286,0,0,0,0,0,6,6,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0
"Luvic Planosols",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luvic Stagnosols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0
"Mollic Gleysols",0,0,0,13,0,0,0,0,2,75,0,0,0,0,0,0,0,0,1,0,1,0,1,9,3,0,0,5,0,0,0,7,0,0,2,0,1,0,44,0,0,3,0,0,0,47,4,6,0,0,12,0,0,0,0,6,0,0,0,7,3,0,3,0,0,10,0,0,0,11,0,0,19,0,0,0,0,0,0,8,1,2,0,1,0,1,0,0,0,0,0,0,1,4,0,0,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,243,1,0,0,0,0
"Mollic Leptosols",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,5,22,0,1,0,0,20,0,0,0,2,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,4,16,7,0,9,0,0,0,5,0,0,0,1,0,0,24,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mollic Solonetz",0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0,4,0,91,0,3,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,33,0,4,0,0,3,0,0,0,0,0,0,0,0,67,0,0,3,0,0,4,0,0,0,9,0,2,0,0,1,0,0,38,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,8,0,0,0,0,12,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Mollic Vertisols",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petric Calcisols",0,0,0,0,0,0,11,26,0,0,1,0,0,1,0,5,0,0,0,0,48,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,80,0,9,0,1,0,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,0,3,32,0,1,0,0,20,0,0,0,1,0,0,0,0,3,0,1,0,0,4,0,0,0,2,0,1,1,4,0,3,0,9,0,0,0,0,0,1,0,0,369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petric Durisols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plinthic Acrisols",5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Protic Arenosols",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,278,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rendzic Leptosols",0,0,0,1,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,5,0,0,1,0,8,0,270,2,0,0,0,0,0,0,2,22,0,0,6,0,1,0,0,0,0,0,0,0,28,0,13,2,0,28,1,0,0,3,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,4,27,0,0,4,0,0,0,5,0,0,0,1,0,0,10,0,0,1,179,0,10,0,0,5,0,0,0,0,0,0,0
"Sapric Histosols",0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,4,4,0,0,6,0,0,0,10,0,0,0,0,0,0,26,0,0,0,0,0,0,6,1,1,0,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8,0,0,0,2,0,0,13,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Solodic Planosols",0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,20,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,1,0,0,0,0,0,0,0,0,23,0,0,15,4,0,7,5,0,0,2,0,4,0,0,0,0,0,78,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Stagnic Luvisols",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,9,0,0,0,4,0,0,0,4,0,0,11,0,0,0,38,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,2,0,0,27,0,0,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0
"Turbic Cryosols",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
"Umbric Albeluvisols",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
"Umbric Ferralsols",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0
"Umbric Gleysols",0,0,0,22,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,2,1,9,4,0,0,13,0,0,0,7,2,0,0,0,0,0,73,0,0,4,0,1,0,81,3,9,0,0,4,0,0,0,0,6,0,0,0,8,0,0,0,0,0,6,0,0,0,11,0,0,26,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0
"Vertic Cambisols",0,0,0,0,1,0,0,1,5,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,0,0,0,20,0,0,0,1,0,0,4,0,13,0,33,0,0,0,0,0,0,0,0,68,0,0,8,0,0,0,0,1,0,0,0,0,1,0,17,0,0,15,1,0,1,1,0,0,2,0,0,0,0,1,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,13,0,0,0,0
"Vertic Luvisols",0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,1,0,45,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,6,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Vetic Acrisols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Vitric Andosols",0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,46,0,0,3,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,13,0,0,0,0,0,0,4,0,3,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"Vitric Cryosols",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Haplic Regosols (Sodic)",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
