FAO90,SoilUnitD90,SoilGroupD90,FAO 90Code,FAO 90remarks,FAO74,SoilUnitD74,SoilGroup74,SoilGroupD74,FAO 74Code,CPCS,SoilUnitDCPCS,SoilGroupCPCS,SoilGroupDCPCS,Correlation,FAO88,SoilUnit8D8,SoilGroup88,SoilGroupD88,Code88,US,SoilUnitDUS,SoilGroupUS,SoilGroupDUS,Correlation,CPSS from report (tentative),WRB (tentative) from report
PHl,Luvic Phaeozems,Phaeozems,62,,Hl,Luvic phaeozem,H,Phaeozems,54,VI/4,Sols isohumiques á pédoclimat á température élevée en période pluvieuse,VI,Sols isohumiques,PHl,PHl,Luvic Phaeozems,PH,PHAEOZEMS,134,GGB,Argiudoll,G,Mollisols,PHl,Sol rouge méditeranée dans karst calcaire érodé,Calcari-Luvic Phaeozems
PL,Planosols,Planosols,97,,W,Planosol,W,Planosols,,,,,,PL,PL,PLANOSOLS,PL,PLANOSOLS,137,,,,,PL,,
PLd,Dystric Planosols,Planosols,99,,Wd,Dystric Planosol,W,Planosols,85,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLd,PLd,Dystric Planosols,PL,PLANOSOLS,139,FAC,Albaquult,F,Ultisols,PLd,"Sol à mull, sol lessivé hydromorphe",Dystri-Albic Planosols
PLe,Eutric Planosols,Planosols,98,,We,Eutric Planosol,W,Planosols,84,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLe,PLe,Eutric Planosols,PL,PLANOSOLS,138,HAG,Albaqualf,H,Alfisols,PLe,,
PLe,Sodic Planosols,Planosols,102,1st Approx.,Ws,Solodic Planosol,W,Planosols,88,XII/23,Sols sodiques á horizon blanchi (solodises),XII,Sols sodiques,PLe,PLe,Eutric Planosols,PL,PLANOSOLS,138,HCC,Natrustalf,H,Alfisols,PLe,,
PLi,Gelic Planosols,Planosols,103,,Wx,Gelic Planosol,W,Planosols,89,(-),,(-),(-),PLi,PLi,Gelic Planosols,PL,PLANOSOLS,142,HBD,Cryoboralf,H,Alfisols,PLi,,
PLm,Mollic Planosols,Planosols,100,,Wm,Mollic Planosol,W,Planosols,86,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLm,PLm,Mollic Planosols,PL,PLANOSOLS,140,GAB,Argialboll,G,Mollisols,PLm,,
PLu,Humic Planosols,Planosols,101,,Wh,Humic Planosol,W,Planosols,87,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLu,PLu,Umbric Planosols,PL,PLANOSOLS,141,HCD,Paleustalf,H,Alfisols,PLu,,
PT,Plinthic Gleysols,Gleysols,7,1st. Approx.,Gp,Plinthic Gleysol,G,Gleysols,10,XI/35,Sols á accumulation de fer en carapace or cuirasse,XI,Sols hydromorphes,PT,PT,PLINTHOSOLS,PT,PLINTHOSOLS,143,IAF,Plinthaquept,I,Inceptisols,PT,,
PT,Plinthic Ferralsols,Ferrasols,120,???,Fp,Plinthic Ferralsol,F,Ferrasols,103,X/31,Sols ferralliquites fortement désaturés en (B) typiques,X,Sols ferrallitiques,PT,PT,PLINTHOSOLS,PT,PLINTHOSOLS,143,CEF,Haplorthox,C,Oxisols,PT,,
PTd,Plinthic Acrisols,Acrisols,108,???,Ap,Plinthic Acrisol,A,Acrisols,93,IX/12,Sols ferrugineux tropicaux,IX,Sols á sesquioxydes de fer,,,,,,,FAD,Paleaquult,F,Ultisols,,,
PZ,Podzols,Podzols,90,,P,Podzol,P,Podzols,,,,,,PZ,PZ,PODZOLS,PZ,PODZOLS,148,,,,,PZ,,
PZb,Leptic Podzols,Podzols,92,,Pl,Leptic Podzol,P,Podzols,79,VIII/12,Sols podzoliques,VIII,Sols podzolisés,PZb,PZb,Cambic Podzols,PZ,PODZOLS,150,BDE,Haplorthod,B,Spodosol,PZb,,
PZc,Humic Podzols,Podzols,94,,Ph,Humic Podzol,P,Podzols,81,VIII/11,Podzols,VIII,Sols podzolisés,PZc,PZc,Carbic Podzols,PZ,PODZOLS,152,BCB,Tropohumod,B,Spodosol,PZc,,
PZf,Ferric Podzols,Podzols,93,,Pf,Ferric Podzol,P,Podzols,80,VIII/11,Podzols,VIII,Sols podzolisés,PZf,PZf,Ferric Podzols,PZ,PODZOLS,151,BB,Ferrod,B,Spodosol,PZf,,
PZf,Placic Podzols,Podzols,95,,Pp,Placic Podzol,P,Podzols,82,VIII/11,Podzols,VIII,Sols podzolisés,PZf,PZf,Ferric Podzols,PZ,PODZOLS,151,BCA,Placohumod,B,Spodosol,PZf,,
PZg,Gleyic Podzols,Podzols,96,,Pg,Gleyic Podzol,P,Podzols,83,VIII/11,Podzols,VIII,Sols podzolisés,PZg,PZg,Gleyic Podzols,PZ,PODZOLS,153,BAB,Cryaquod,B,Spodosol,PZg,,
PZh,Orthic Podzols,Podzols,91,,Po,Octhic Podzol,P,Podzols,78,VIII/11,Podzols,VIII,Sols podzolisés,PZh,PZh,Haplic Podzols,PZ,PODZOLS,149,BDE,Haplorthod,B,Spodosol,PZh,Sol à mull; sols lessivés podzoliques,Skeleti-Albic Podzols
RG,Regosols,Regosols,9,,R,Regosol,R,Regosols,,,,,,RG,RG,REGOSOLS,RG,REGOSOLS,155,,,,,RG,,
RG,Xerosols,Xerosols,45,Several options possible,X,Xerosol,X,Xerosols,,,,,,RG,RG,REGOSOLS,RG,REGOSOLS,155,,,,,RG,,
RG,Yermosols,Yermosols,39,Several options possible??2101june13,Y,Yermosol,Y,Yermosols,,,,,,RG,RG,REGOSOLS,RG,REGOSOLS,155,,,,,RG,,
RGc,Calcaric Regosols,Regosols,11,,Rc,Calcaric Regosol,R,Regosols,13,II/44,Sols d'apport éolien,II,Sols peu évolués,RGc,RGc,Calcaric Regosols,RG,REGOSOLS,157,JE,Orthent,J,Entisols,RGc,Regosol,Calcari-Leptic Regosols
RGc,Haplic Yermosols,Yermosols,40,1st Approx.,Yh,Haplic Yermosol,Y,Yermosols,36,I/32,Sols minéraux bruts xériques inorganisés,I,Sols minéraux bruts,RGc,RGc,Calcaric Regosols,RG,REGOSOLS,157,EBF,Camborthid,E,Aridisols,RGc,,
RGc,Haplic Xerosols,Xerosols,46,1st Approx.??2102une13,Xh,Haplic Xerosol,X,Xerosols,41,VI/32,Sierozems,VI,Sols isohumiques,RGc,RGc,Calcaric Regosols,RG,REGOSOLS,157,EBF,Camborthid,E,Aridisols,RGc,Sol mineral brut d'érosion,Calcaric Regosols
RGd,Dystric Regosols,Regosols,12,,Rd,Dystric Regosol,R,Regosols,14,II/44,Sols d'apport éolien,II,Sols peu évolués,RGd,RGd,Dystric Regosols,RG,REGOSOLS,159,JCD,Udipsamment,J,Entisols,RGd,"Sol peu évolué d'apport, hydromorphe",Endogleyic Regosol (Dystric)
RGe,Eutric Regosols,Regosols,10,,Re,Eutric Regosoll,R,Regosols,12,II/44,Sols d'apport éolien,II,Sols peu évolués,RGe,RGe,Eutric Regosols,RG,REGOSOLS,156,JE,Orthent,J,Entisols,RGe,Sol peu évolué d'apport éolien,Eutric Regosol
RGe,Takyric Yermosols,Yermosols,44,1st Approx.????,Yt,Takyric Yermosol,Y,Yermosols,40,I/35,Sols minéraux bruts xériques organisés d'apport,I,Sols minéraux bruts,RGe,RGe,Eutric Regosols,RG,REGOSOLS,156,EBF,Camborthid,E,Aridisols,RGe,Sol brun subaride,Haplic Regosol (Eutric)
RGi,Gelic Regosols,Regosols,13,,Rx,Gelic Regosol,R,Regosols,15,II/1,Sols peu évolues á permagel,II,Sols peu évolués,RGi,RGi,Gelic Regosols,RG,REGOSOLS,161,IAE,Cryaquept,I,Inceptisols,RGi,,
RK,Rock Outcrops,,142,,,,,,,,,,,RK,RK,Rock outcrops,RK,Rock outcrops,196,,,,,RK,,
SC,Solonchaks,Solochanks,30,,Z,Solochank,Z,Solochanks,,,,,,SC,SC,SOLONCHAKS,SC,SOLONCHAKS,162,,,,,SC,,
SCg,Gleyic Solonchaks,Solochanks,34,,Zg,Gleyic Solonchack,Z,Solochanks,32,XII/21,Sols salins á alcalins (Solontchak-Solonetz) Profil A (B) C,XII,Sols sodiques,SCg,SCg,Gleyic Solonchaks,SC,SOLONCHAKS,165,IAC,Halaquept,I,Inceptisols,SCg,,
SCh,Orthic Solonchaks,Solochanks,31,,Zo,Orthic Solonchack,Z,Solochanks,29,XII/21,Sols salins á alcalins (Solontchak-Solonetz) Profil A (B) C,XII,Sols sodiques,SCh,SCh,Haplic Solonchaks,SC,SOLONCHAKS,163,EBA,Salorthid,E,Aridisols,SCh,Sol halomorphe,
SCh,Takyric Solonchaks,Solochanks,33,,Zt,Takyric Solonchack,Z,Solochanks,31,XII/21,Sols salins á alcalins (Solontchak-Solonetz) Profil A (B) C,XII,Sols sodiques,SCh,SCh,Haplic Solonchaks,SC,SOLONCHAKS,163,EBD,Gypsiorthid,E,Aridisols,SCh,,
SCm,Mollic Solonchaks,Solochanks,32,,Zm,Orthic Solonchack,Z,Solochanks,30,XII/21,Sols salins á alcalins (Solontchak-Solonetz) Profil A (B) C,XII,Sols sodiques,SCm,SCm,Mollic Solonchaks,SC,SOLONCHAKS,164,GFG,Haplustoll,G,Mollisols,SCm,,
SN,Solonetz,Solonetzs,35,,S,Solonetz,S,Solonetzs,,,,,,SN,SN,SOLONETZ,SN,SOLONETZ,170,,,,,SN,,
SNg,Gleyic Solonetz,Solonetzs,38,,Sg,Gleyic Solonetz,S,Solonetzs,35,XII/22,Sols sodiques á horizon B (Solonetz),XII,Sols sodiques,SNg,SNg,Gleyic Solonetz,SN,SOLONETZ,176,HAB,Natraqualf,H,Alfisols,SNg,,
SNh,Orthic Solonetz,Solonetzs,36,,So,Orthic Solonetz,S,Solonetzs,33,XII/23,Sols sodiques á horizon blanchi (solodises),XII,Sols sodiques,SNh,SNh,Haplic Solonetz,SN,SOLONETZ,171,HCC,Natrustalf,H,Alfisols,SNh,,
SNm,Mollic Solonetz,Solonetzs,37,,Sm,Mollic Solonetz,S,Solonetzs,34,XII/22,Sols sodiques á horizon B (Solonetz),XII,Sols sodiques,SNm,SNm,Mollic Solonetz,SN,SOLONETZ,172,GFB,Natrustoll,G,Mollisols,SNm,,
ST,Salt flats,,135,,,,,,,,,,,ST,ST,Salt flats,ST,Salt flats,195,,,,,ST,,
VR,Pellic Vertisols,Vertisols,28,undiff.,Vp,Pellic Vertisol,V,Vertisols,27,III/1,Vertisols a drainage externe nul or réduit,III,Vertisols,VR,VR,VERTISOLS,VR,VERTISOLS,177,DAB,Pelloxerert,D,Vertisols,VR,,
VR,Chromic Vertisols,Vertisols,29,undiff. (climatic clustering),Vc,Chromic Vertisol,V,Vertisols,28,III/2,Sols vertisols a drainage externe possible,III,Vertisols,VR,VR,VERTISOLS,VR,VERTISOLS,177,DAA,Chromoxerert,D,Vertisols,VR,,
VR,Vertisols,Vertisols,27,,V,Vertisol,V,Vertisols,,,,,,VR,VR,VERTISOLS,VR,VERTISOLS,177,,,,,VR,,
WR,Water bodies,,138,,,,,,,,,,,WR,WR,Water bodies,WR,Water,198,,,,,WR,,
,,,,,,,,,,,,,,GYh,GYh,Haplic Gypsisols,GY,GYPSISOLS,82,,,,,GYh,Calcimorphe sur accumulation gypseuse,Hypergypsi-Leptic Gypsisols
,,,,,,,,,,,,,,,,,,,,,,,,CMc,Rendzine,Calcari-Leptic Cambisols
,,,,,,,,,,,,,,CLp,CLp,Petric Calcisols,CL,CALCISOLS,60,,,,,CLp,Rendzine brune sur croute et encroutement calcaire,Hypercalci-Epipetric Calcisols
,,,,,,,,,,,,,,,,,,,,,,,,CMc,Rendzine brunifiée,Calcari-Leptic Cambisols
,,,,,,,,,,,,,,,,,,,,,,,,CLp,Rendzine sur croute,Hypercalci-Petric Calcisols
,,,,,,,,,,,,,,LXh,LXh,Haplic Lixisols,LX,LIXISOLS,115,,,,,LXh,Sol à Mull - Sol brun forestier,Haplic Lixisols
,,,,,,,,,,,,,,,,,,,,,,,,LXh,Sol à Mull - Sol brun lessivé,Haplic Lixisols
,,,,,,,,,,,,,,ALh,ALh,Haplic Alisols,AL,ALISOLS,25,,,,,ALh,Sol à mull; sols bruns faiblement lessivés,Profondic Alisols
,,,,,,,,,,,,,,LVj,LVj,Stagnic Luvisols,LV,LUVISOLS,112,,,,,LVj,Sol à mull; sols lessivés hydromorphes,Endodystri-Stagnic Luvisols
,,,,,,,,,,,,,,,,,,,,,,,,CLp,Sol brun calcaire sur marne,Hypercalci-Petric Calcisols
,,,,,,,,,,,,,,CLl,CLl,Luvic Calcisols,CL,CALCISOLS,59,,,,,CLl,Sol brun isohumique,Chromi-Luvic Calcisols
,,,,,,,,,,,,,,,,,,,,,,,,ARl,Sol brun subaride,Bruni-Hypoluvic Arenosol (Eutric)
,,,,,,,,,,,,,,LPk,LPk,Rendzic Leptosols,LP,LEPTOSOLS,100,,,,,LPk,Sol calcomagnesimorphe rendzine,Rendzic Leptosols
,,,,,,,,,,,,,,,,,,,,,,,,CLp,Sol calcomagnesimorphes rendzine,Hypercalci-Epipetric Calcisols
,,,,,,,,,,,,,,,,,,,,,,,,CLp,Sol de croûte or encroûtement gypseux,Lepti-Petric Calcisols
,,,,,,,,,,,,,,,,,,,,,,,,ARl,Sol ferrugineux tropical faiblement lessivé,Hypoluvic Arenosol (Eutric)
,,,,,,,,,,,,,,LXg,LXg,Gleyic Lixisols,LX,LIXISOLS,120,,,,,LXg,Sol ferrugineux tropical lessivé,Gleyic Lixisols (Ferric)
,,,,,,,,,,,,,,,,,,,,,,,,ACf,Sol ferrugineux tropical lessivé,"Vetic Acrisol (Abruptic,Hyperdystric)"
,,,,,,,,,,,,,,,,,,,,,,,,ARh,Sol ferrugineux tropical lessivé,
,,,,,,,,,,,,,,,,,,,,,,,,LXh,Sol ferrugineux tropical lessivé,"Haplic Lixisol (Epiarenic,Chromic)"
,,,,,,,,,,,,,,,,,,,,,,,,ACf,Sol ferrugineux tropical lessivé,"Haplic Acrisol (Ferric, Epieutric,Arenic)"
,,,,,,,,,,,,,,,,,,,,,,,,ACh,Sol ferrugineux tropical lessivé,
,,,,,,,,,,,,,,,,,,,,,,,,ARl,Sol ferrugineux tropical lessivé,Rubi-Hypoluvic Arenosol (Dystric)
,,,,,,,,,,,,,,,,,,,,,,,,ACf,Sol ferrugineux tropical lessivé à taches diffuses,"Hapli-Ferric Acrisol (Abruptic,Chromic)"
,,,,,,,,,,,,,,,,,,,,,,,,LXf,Sol ferrugineux tropical lessivé sur grès sablo-argileux,
,,,,,,,,,,,,,,,,,,,,,,,,Acp,"Sol ferrugineux tropical lessivé, induré",Pisoplinthic Acrisols (Chromic)
,,,,,,,,,,,,,,,,,,,,,,,,LXf,Sol ferrugineux tropical peu lessivé,
,,,,,,,,,,,,,,,,,,,,,,,,CLl,Sol fersialitique à réserve calcique,Chromi-Luvic Calcisols
,,,,,,,,,,,,,,,,,,,,,,,,RGe,Sol gravillonnaire,
,,,,,,,,,,,,,,,,,,,,,,,,FLe,Sol hydromorphe à pseudogley,Gleyic Fluvisol (Eutric)
,,,,,,,,,,,,,,,,,,,,,,,,GLe,Sol hydromorphe à pseudogley de surface,
,,,,,,,,,,,,,,,,,,,,,,,,GLe,Sol hydromorphe minéraux argileux à pseudogley,
,,,,,,,,,,,,,,,,,,,,,,,,GLe,Sol hydromorphe peu humifère,
,,,,,,,,,,,,,,,,,,,,,,,,GLe,Sol hydromorphe sur argile de décantation,
,,,,,,,,,,,,,,,,,,,,,,,,CMc,Sol isohumique subtropical brun modal,Chromi-Calcaric Cambisols
,,,,,,,,,,,,,,LVk,LVk,Calcic Luvisols,LV,LUVISOLS,109,,,,,LVk,Sol isohumique subtropical châtain modal,Chromi-Calcaric Luvisols
,,,,,,,,,,,,,,,,,,,,,,,,CLl,"Sol iso-humique, sierozem modal (subdesert soil)",Luvic Calcisols
,,,,,,,,,,,,,,ARc,ARc,Calcaric Arenosols,AR,ARENOSOLS,44,,,,,ARc,"Sol mineral brut, erg, dunes",Calcari-Gypsiric Arenosols
,,,,,,,,,,,,,,,,,,,,,,,,FLc,Sol peu évolué,Hyposodi-Calcaric Fluvisols
,,,,,,,,,,,,,,ARh,ARh,Haplic Arenosols,AR,ARENOSOLS,39,,,,,ARh,Sol peu évolué d’apport éolien,Haplic Arenosols
,,,,,,,,,,,,,,,,,,,,,,,,Fle,Sol peu évolué d'apport alluvial,"Haplic Arenosols (Eutric, Arenic)"
,,,,,,,,,,,,,,,,,,,,,,,,Rge,Sol peu évolué d'érosion,"Hapli-Leptic Regosol (Eutric,Skeletic)"
,,,,,,,,,,,,,,,,,,,,,,,,ARh,Sol peu évolué humifère sur matériaux très sableux de dunes aplanies,
,,,,,,,,,,,,,,,,,,,,,,,,FLe,Sol peu évolué non climatique d'apport hydromorphe sur alluvions lacustrines de texture fine,"Gleyic Fluvisol (Eutric,Clayic)"
,,,,,,,,,,,,,,,,,,,,,,,,RGc,"Sol peu évolué, non-climatique, d'érosion",Calcaric Regosols
,,,,,,,,,,,,,,,,,,,,,,,,LVk,Sol rouge méditeranée,Sodi-Calcic Luvisols (Rhodic)
,,,,,,,,,,,,,,,,,,,,,,,,LVk,Sol rouge méditeranée,
,,,,,,,,,,,,,,SCn,SCn,Sodic Solonchaks,SC,SOLONCHAKS,168,,,,,SCn,Sol salé à alcalis sur alluvion fluviatile,Sodi-Gleyic Solonchaks (Calcaric)
,,,,,,,,,,,,,,SNk,SNk,Calcic Solonetz,SN,SOLONETZ,173,,,,,SNk,Sol salé sur alluvion fluviatile,Calci-Salic Solonetz
,,,,,,,,,,,,,,,,,,,,,,,,FLt,Sol sulfaté acide maturé à jarosite à moyenne profondeur,
,,,,,,,,,,,,,,VRe,VRe,Eutric Vertisols,VR,VERTISOLS,178,,,,,VRe,Sol vertique,Sodi-Hyposalic Vertisols (Gypsiric)
,,,,,,,,,,,,,,,,,,,,,,,,Rge,Sols gravillonnaire sur niveau d'alteration argileuse de roche basique,
,,,,,,,,,,,,,,,,,,,,,,,,VRe,Vertisol,
,,,,,,,,,,,,,,VRk,VRk,Calcic Vertisols,VR,VERTISOLS,180,,,,,VRk,Vertisol lithomorph e modal á caractère accentué,Hyposodi-Calcic Vertisols
,,,,,,,,,,,,,,,,,,,,,,,,VRe,Vertisol lithomorphe à surface de structure massive (sol modal sur marnes),
,,,,,,,,,,,,,,,,,,,,,,,,VRk,Vertisol lithomorphe à surface massive,Mazic Vertisol (Calcaric)
,,,,,,,,,,,,,,ACp,ACp,Plinthic Acrisols,AC,ACRISOLS,22,,,,,ACp,,
,,,,,,,,,,,,,,AL,AL,ALISOLS,AL,ALISOLS,24,,,,,AL,,
,,,,,,,,,,,,,,ALf,ALf,Ferric Alisols,AL,ALISOLS,26,,,,,ALf,,
,,,,,,,,,,,,,,ALg,ALg,Gleyic Alisols,AL,ALISOLS,30,,,,,ALg,,
,,,,,,,,,,,,,,ALj,ALj,Stagnic Alisols,AL,ALISOLS,29,,,,,ALj,,
,,,,,,,,,,,,,,ALp,ALp,Plinthic Alisols,AL,ALISOLS,28,,,,,ALp,,
,,,,,,,,,,,,,,ALu,ALu,Humic Alisols,AL,ALISOLS,27,,,,,ALu,,
,,,,,,,,,,,,,,ANg,ANg,Gleyic Andosols,AN,ANDOSOLS,36,,,,,ANg,,
,,,,,,,,,,,,,,ANi,ANi,Gelic Andosols,AN,ANDOSOLS,37,,,,,ANi,,
,,,,,,,,,,,,,,ARe,ARe,Eutric Arenosols,AR,ARENOSOLS,207,,,,,ARe,,
,,,,,,,,,,,,,,ARg,ARg,Gleyic Arenosols,AR,ARENOSOLS,45,,,,,ARg,,
,,,,,,,,,,,,,,AT,AT,ANTHROSOLS,AT,ANTHROSOLS,46,,,,,AT,,
,,,,,,,,,,,,,,ATa,ATa,Aric Anthrosols,AT,ANTHROSOLS,47,,,,,ATa,,
,,,,,,,,,,,,,,ATc,ATc,Cumulic Anthrosols,AT,ANTHROSOLS,48,,,,,ATc,,
,,,,,,,,,,,,,,ATf,ATf,Fimic Anthrosols,AT,ANTHROSOLS,49,,,,,ATf,,
,,,,,,,,,,,,,,ATu,ATu,Urbic Anthrosols,AT,ANTHROSOLS,50,,,,,ATu,,
,,,,,,,,,,,,,,CHg,CHg,Gleyic Chernozems,CH,CHERNOZEMS,56,,,,,CHg,,
,,,,,,,,,,,,,,CL,CL,CALCISOLS,CL,CALCISOLS,57,,,,,CL,,
,,,,,,,,,,,,,,CMh,CMh,Haplic Cambisols,CM,CAMBISOLS,208,,,,,CMh,,
,,,,,,,,,,,,,,FLm,FLm,Mollic Fluvisols,FL,FLUVISOLS,5,,,,,FLm,,
,,,,,,,,,,,,,,FLs,FLs,Salic Fluviosls,FL,FLUVISOLS,8,,,,,FLs,,
,,,,,,,,,,,,,,FLu,FLu,Umbric Fluvisols,FL,FLUVISOLS,6,,,,,FLu,,
,,,,,,,,,,,,,,FP,FP,Fishpond,FP,Fishpond,204,,,,,FP,,
,,,,,,,,,,,,,,FRp,FRp,Plinthic Ferralsols,FR,FERRALSOLS,77,,,,,FRp,,
,,,,,,,,,,,,,,GLa,GLa,Andic Gleysols,GL,GLEYSOLS,13,,,,,GLa,,
,,,,,,,,,,,,,,GLt,GLt,Thionic Gleysols,GL,GLEYSOLS,16,,,,,GLt,,
,,,,,,,,,,,,,,GYk,GYk,Calcic Gypsisols,GY,GYPSISOLS,83,,,,,GYk,,
,,,,,,,,,,,,,,GYl,GYl,Luvic Gypsisols,GY,GYPSISOLS,84,,,,,GYl,,
,,,,,,,,,,,,,,GYp,GYp,Petric Gypsisols,GY,GYPSISOLS,85,,,,,GYp,,
,,,,,,,,,,,,,,HD,HD,Humanly disturbed,HD,Humanly disturbed,202,,,,,HD,,
,,,,,,,,,,,,,,HSf,HSf,Fibric Histosols,HS,HISTOSOLS,89,,,,,HSf,,
,,,,,,,,,,,,,,HSl,HSl,Folic Histosols,HS,HISTOSOLS,87,,,,,HSl,,
,,,,,,,,,,,,,,HSs,HSs,Terric Histosols,HS,HISTOSOLS,88,,,,,HSs,,
,,,,,,,,,,,,,,HSt,HSt,Thionic Histosols,HS,HISTOSOLS,90,,,,,HSt,,
,,,,,,,,,,,,,,IS,IS,Island,IS,Island,205,,,,,IS,,
,,,,,,,,,,,,,,KSy,KSy,Gypsic Kastanozems,KS,KASTANOZEMS,96,,,,,KSy,,
,,,,,,,,,,,,,,LP,LP,LEPTOSOLS,LP,LEPTOSOLS,97,,,,,LP,,
,,,,,,,,,,,,,,LPd,LPd,Dystric Leptosols,LP,LEPTOSOLS,99,,,,,LPd,,
,,,,,,,,,,,,,,LPe,LPe,Eutric Leptosols,LP,LEPTOSOLS,98,,,,,LPe,,
,,,,,,,,,,,,,,LPi,LPi,Gelic Leptosols,LP,LEPTOSOLS,104,,,,,LPi,,
,,,,,,,,,,,,,,LVe,LVe,Eutric Luvisols,LV,LUVISOLS,206,,,,,LVe,,
,,,,,,,,,,,,,,LVf,LVf,Ferric Luvisols,LV,LUVISOLS,107,,,,,LVf,,
,,,,,,,,,,,,,,LX,LX,LIXISOLS,LX,LIXISOLS,114,,,,,LX,,
,,,,,,,,,,,,,,LXa,LXa,Albic Lixisols,LX,LIXISOLS,118,,,,,LXa,,
,,,,,,,,,,,,,,LXj,LXj,Stagnic Lixisols,LX,LIXISOLS,119,,,,,LXj,,
,,,,,,,,,,,,,,MA,MA,Marsh,MA,Marsh,203,,,,,MA,,
,,,,,,,,,,,,,,ND,ND,No Data,ND,No Data,200,,,,,ND,,
,,,,,,,,,,,,,,PDi,PDi,Gelic Podzoluvisols,PD,PODZOLUVISOLS,130,,,,,PDi,,
,,,,,,,,,,,,,,PDj,PDj,Stagnic Podzoluvisols,PD,PODZOLUVISOLS,128,,,,,PDj,,
,,,,,,,,,,,,,,PHj,PHj,Stagnic Phaeozems,PH,PHAEOZEMS,135,,,,,PHj,,
,,,,,,,,,,,,,,PTa,PTa,Albic Plinthosols,PT,PLINTHOSOLS,147,,,,,PTa,,
,,,,,,,,,,,,,,PTd,PTd,Dystric Plinthosols,PT,PLINTHOSOLS,145,,,,,PTd,,
,,,,,,,,,,,,,,PTe,PTe,Eutric Plinthosols,PT,PLINTHOSOLS,144,,,,,PTe,,
,,,,,,,,,,,,,,PTu,PTu,Humic Plinthosols,PT,PLINTHOSOLS,146,,,,,PTu,,
,,,,,,,,,,,,,,PZi,PZi,Gelic Podzols,PZ,PODZOLS,154,,,,,PZi,,
,,,,,,,,,,,,,,RGh,RGh,Haplic Regosol,RG,REGOSOLS,209,,,,,RGh,,
,,,,,,,,,,,,,,RGu,RGu,Umbric Regosols,RG,REGOSOLS,160,,,,,RGu,,
,,,,,,,,,,,,,,RGy,RGy,Gypsic Regosols,RG,REGOSOLS,158,,,,,RGy,,
,,,,,,,,,,,,,,SCi,SCi,Gelic Solonchaks,SC,SOLONCHAKS,169,,,,,SCi,,
,,,,,,,,,,,,,,SCk,SCk,Calcic Solonchaks,SC,SOLONCHAKS,166,,,,,SCk,,
,,,,,,,,,,,,,,SCy,SCy,Gypsic Solonchaks,SC,SOLONCHAKS,167,,,,,SCy,,
,,,,,,,,,,,,,,SNj,SNj,Stagnic Solonetz,SN,SOLONETZ,175,,,,,SNj,,
,,,,,,,,,,,,,,SNy,SNy,Gypsic Solonetz,SN,SOLONETZ,174,,,,,SNy,,
,,,,,,,,,,,,,,UR,UR,"Urban, mining, etc.",UR,"Urban, mining, etc.",201,,,,,UR,,
,,,,,,,,,,,,,,VRd,VRd,Dystric Vertisols,VR,VERTISOLS,179,,,,,VRd,,
,,,,,,,,,,,,,,VRy,VRy,Gypsic Vertisols,VR,VERTISOLS,181,,,,,VRy,,
,,,,,,,,,,,,,,WRs,WRs,"Inland water, salt",WR,Water,197,,,,,WRs,,
,,,,,,,,,,,,,,,,,,,,,,,,ACh,,
,,,,,,,,,,,,,,,,,,,,,,,,ARb,,
,,,,,,,,,,,,,,,,,,,,,,,,GLd,,