corr_taxsubgrp,count,WRB_2006_subgroup,split_names,split_names,split_names,match_with_USDA_GreatGroup_table
typic hapludalfs,1691,Haplic Luvisols,typic,hapludalfs,,Haplic Luvisols
typic hapludults,838,Haplic Alisols / Haplic Acrisols,typic,hapludults,,Haplic Alisols / Haplic Acrisols
typic paleudalfs,642,Haplic Luvisols,typic,paleudalfs,,Haplic Luvisols
oxyaquic hapludalfs,610,Haplic Luvisols,oxyaquic,hapludalfs,,Haplic Luvisols
typic paleudults,610,Haplic Alisols,typic,paleudults,,Haplic Alisols
aquic hapludalfs,598,Haplic Luvisols,aquic,hapludalfs,,Haplic Luvisols
typic hapludolls,571,Haplic Chernozems / Haplic Phaeozems,typic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic argiudolls,554,Luvic Phaeozems,typic,argiudolls,,Luvic Phaeozems
ultic hapludalfs,539,Haplic Luvisols,ultic,hapludalfs,,Haplic Luvisols
aquic argiudolls,515,Luvic Phaeozems,aquic,argiudolls,,Luvic Phaeozems
aeric epiaqualfs,481,,aeric,epiaqualfs,,
typic endoaquolls,433,Haplic Phaeozems,typic,endoaquolls,,Haplic Phaeozems
typic fragiudults,428,Haplic Alisols,typic,fragiudults,,Haplic Alisols
mollic hapludalfs,408,Haplic Luvisols,mollic,hapludalfs,,Haplic Luvisols
typic argiaquolls,370,,typic,argiaquolls,,
typic dystrochrepts,302,,typic,dystrochrepts,,
typic dystrudepts,284,Haplic Cambisols (Dystric),typic,dystrudepts,,Haplic Cambisols (Dystric)
cumulic hapludolls,282,Haplic Chernozems / Haplic Phaeozems,cumulic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic udorthents,250,Haplic Regosols,typic,udorthents,,Haplic Regosols
oxyaquic fragiudalfs,248,Haplic Luvisols / Haplic Lixisols,oxyaquic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
typic udipsamments,215,Haplic Arenosols,typic,udipsamments,,Haplic Arenosols
mollic epiaqualfs,213,,mollic,epiaqualfs,,
lithic hapludolls,211,Haplic Chernozems / Haplic Phaeozems,lithic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
aridic argiustolls,203,Luvic Chernozems / Haplic Kastanozems,aridic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aquic hapludults,199,Haplic Alisols / Haplic Acrisols,aquic,hapludults,,Haplic Alisols / Haplic Acrisols
typic haplorthods,195,Haplic Podzols,typic,haplorthods,,Haplic Podzols
aquic hapludolls,186,Haplic Chernozems / Haplic Phaeozems,aquic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
ultic haploxeralfs,186,Haplic Luvisols / Haplic Lixisols,ultic,haploxeralfs,,Haplic Luvisols / Haplic Lixisols
pachic argiustolls,182,Luvic Chernozems / Haplic Kastanozems,pachic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aeric ochraqualfs,178,,aeric,ochraqualfs,,
typic udifluvents,174,Haplic Fluvisols,typic,udifluvents,,Haplic Fluvisols
typic argiustolls,172,Luvic Chernozems / Haplic Kastanozems,typic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
aquic fragiudalfs,166,Haplic Luvisols / Haplic Lixisols,aquic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
fluventic hapludolls,163,Haplic Chernozems / Haplic Phaeozems,fluventic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
oxyaquic argiudolls,157,Luvic Phaeozems,oxyaquic,argiudolls,,Luvic Phaeozems
typic fragiudalfs,154,Haplic Luvisols / Haplic Lixisols,typic,fragiudalfs,,Haplic Luvisols / Haplic Lixisols
typic endoaqualfs,147,Gleyic Luvisols,typic,endoaqualfs,,Gleyic Luvisols
aeric fluvaquents,145,Haplic Fluvisols,aeric,fluvaquents,,Haplic Fluvisols
typic haplaquolls,145,,typic,haplaquolls,,
aeric endoaqualfs,142,Gleyic Luvisols,aeric,endoaqualfs,,Gleyic Luvisols
aquollic hapludalfs,142,Haplic Luvisols,aquollic,hapludalfs,,Haplic Luvisols
cumulic endoaquolls,136,Haplic Phaeozems,cumulic,endoaquolls,,Haplic Phaeozems
ustic torriorthents,126,Haplic Regosols (Eutric),ustic,torriorthents,,Haplic Regosols (Eutric)
haplic glossudalfs,121,Haplic Albeluvisols,haplic,glossudalfs,,Haplic Albeluvisols
aeric fragiaqualfs,120,,aeric,fragiaqualfs,,
typic calciaquolls,116,,typic,calciaquolls,,
cumulic vertic endoaquolls,114,Haplic Phaeozems,,endoaquolls,,Haplic Phaeozems
aquertic hapludalfs,111,Haplic Luvisols,aquertic,hapludalfs,,Haplic Luvisols
aquic paleudults,111,Haplic Alisols,aquic,paleudults,,Haplic Alisols
aridic haplustalfs,111,Haplic Luvisols,aridic,haplustalfs,,Haplic Luvisols
oxyaquic glossudalfs,111,Haplic Albeluvisols,oxyaquic,glossudalfs,,Haplic Albeluvisols
aquic glossudalfs,108,Haplic Albeluvisols,aquic,glossudalfs,,Haplic Albeluvisols
fluvaquentic hapludolls,107,Haplic Chernozems / Haplic Phaeozems,fluvaquentic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic albaqualfs,104,Haplic Planosols,typic,albaqualfs,,Haplic Planosols
typic haplargids,104,Haplic Luvisols,typic,haplargids,,Haplic Luvisols
typic torriorthents,104,Haplic Regosols (Eutric),typic,torriorthents,,Haplic Regosols (Eutric)
vertic endoaquolls,104,Haplic Phaeozems,vertic,endoaquolls,,Haplic Phaeozems
dystric eutrochrepts,103,,dystric,eutrochrepts,,
typic fluvaquents,102,Haplic Fluvisols,typic,fluvaquents,,Haplic Fluvisols
aridic paleustalfs,100,Haplic Luvisols,aridic,paleustalfs,,Haplic Luvisols
mollic albaqualfs,100,Haplic Planosols,mollic,albaqualfs,,Haplic Planosols
terric haplosaprists,98,Sapric Histosols,terric,haplosaprists,,Sapric Histosols
vertic argiaquolls,97,,vertic,argiaquolls,,
dystric eutrudepts,91,Haplic Cambisols (Eutric),dystric,eutrudepts,,Haplic Cambisols (Eutric)
aquertic argiudolls,89,Luvic Phaeozems,aquertic,argiudolls,,Luvic Phaeozems
entic hapludolls,89,Haplic Chernozems / Haplic Phaeozems,entic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
aquic udifluvents,88,Haplic Fluvisols,aquic,udifluvents,,Haplic Fluvisols
calcic hapludolls,86,Haplic Chernozems / Haplic Phaeozems,calcic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
vertic epiaqualfs,85,,vertic,epiaqualfs,,
fluvaquentic endoaquolls,84,Haplic Phaeozems,fluvaquentic,endoaquolls,,Haplic Phaeozems
oxyaquic dystrudepts,84,Haplic Cambisols (Dystric),oxyaquic,dystrudepts,,Haplic Cambisols (Dystric)
oxyaquic hapludolls,83,Haplic Chernozems / Haplic Phaeozems,oxyaquic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
typic eutrochrepts,83,,typic,eutrochrepts,,
typic natrargids,82,,typic,natrargids,,
udic argiustolls,82,Luvic Chernozems / Haplic Kastanozems,udic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
typic argiborolls,80,,typic,argiborolls,,
typic eutrudepts,79,Haplic Cambisols (Eutric),typic,eutrudepts,,Haplic Cambisols (Eutric)
aquic fragiudults,78,Haplic Alisols,aquic,fragiudults,,Haplic Alisols
mollic udifluvents,78,Haplic Fluvisols,mollic,udifluvents,,Haplic Fluvisols
typic torrifluvents,78,Haplic Fluvisols (Eutric),typic,torrifluvents,,Haplic Fluvisols (Eutric)
aquic haplorthods,74,Haplic Podzols,aquic,haplorthods,,Haplic Podzols
typic haplustolls,73,,typic,haplustolls,,
typic quartzipsamments,73,Haplic Arenosols,typic,quartzipsamments,,Haplic Arenosols
aquic udipsamments,72,Haplic Arenosols,aquic,udipsamments,,Haplic Arenosols
typic argixerolls,72,Luvic Chernozems / Haplic Kastanozems,typic,argixerolls,,Luvic Chernozems / Haplic Kastanozems
typic glossaqualfs,71,Haplic Albeluvisols,typic,glossaqualfs,,Haplic Albeluvisols
ultic argixerolls,68,Luvic Chernozems / Haplic Kastanozems,ultic,argixerolls,,Luvic Chernozems / Haplic Kastanozems
cumulic haplustolls,67,,cumulic,haplustolls,,
typic kanhapludults,67,Haplic Acrisols,typic,kanhapludults,,Haplic Acrisols
vitrandic haploxerolls,67,Haplic Kastanozems / Haplic Chernozems,vitrandic,haploxerolls,,Haplic Kastanozems / Haplic Chernozems
typic xerochrepts,66,,typic,xerochrepts,,
xeric palehumults,66,Haplic Alisols,xeric,palehumults,,Haplic Alisols
aridic haplustolls,65,,aridic,haplustolls,,
typic haplosaprists,65,Sapric Histosols,typic,haplosaprists,,Sapric Histosols
Typic Hapludalfs,65,Haplic Luvisols,Typic,Hapludalfs,,Haplic Luvisols
oxyaquic paleudalfs,64,Haplic Luvisols,oxyaquic,paleudalfs,,Haplic Luvisols
oxyaquic udifluvents,63,Haplic Fluvisols,oxyaquic,udifluvents,,Haplic Fluvisols
typic haploxeralfs,63,Haplic Luvisols / Haplic Lixisols,typic,haploxeralfs,,Haplic Luvisols / Haplic Lixisols
pachic hapludolls,62,Haplic Chernozems / Haplic Phaeozems,pachic,hapludolls,,Haplic Chernozems / Haplic Phaeozems
borollic natrargids,61,,borollic,natrargids,,
plinthic paleudults,61,Haplic Alisols,plinthic,paleudults,,Haplic Alisols
typic ochraqualfs,61,,typic,ochraqualfs,,
typic vitrixerands,61,Vitric Andosols,typic,vitrixerands,,Vitric Andosols
ustic haplargids,61,Haplic Luvisols,ustic,haplargids,,Haplic Luvisols
typic haplohumults,60,Haplic Alisols / Haplic Acrisols (Humic),typic,haplohumults,,Haplic Alisols / Haplic Acrisols (Humic)
typic epiaqualfs,59,,typic,epiaqualfs,,
typic epiaquerts,59,Haplic Vertisols,typic,epiaquerts,,Haplic Vertisols
typic fragiaqualfs,59,,typic,fragiaqualfs,,
typic haplustalfs,59,Haplic Luvisols,typic,haplustalfs,,Haplic Luvisols
udollic ochraqualfs,59,,udollic,ochraqualfs,,
Ultic Hapludalfs,59,Haplic Luvisols,Ultic,Hapludalfs,,Haplic Luvisols
aridic calciustolls,58,,aridic,calciustolls,,
lithic argixerolls,58,Luvic Chernozems / Haplic Kastanozems,lithic,argixerolls,,Luvic Chernozems / Haplic Kastanozems
pachic haplustolls,58,,pachic,haplustolls,,
typic epiaquepts,58,,typic,epiaquepts,,
typic haplocalcids,58,Haplic Calcisols,typic,haplocalcids,,Haplic Calcisols
udic haploborolls,58,,udic,haploborolls,,
vertic albaqualfs,58,Haplic Planosols,vertic,albaqualfs,,Haplic Planosols
aeric haplaquepts,57,,aeric,haplaquepts,,
typic fragiochrepts,57,,typic,fragiochrepts,,
ustollic haplargids,57,Haplic Luvisols,ustollic,haplargids,,Haplic Luvisols
fluvaquentic endoaquepts,56,Haplic Gleysols,fluvaquentic,endoaquepts,,Haplic Gleysols
pachic argixerolls,56,Luvic Chernozems / Haplic Kastanozems,pachic,argixerolls,,Luvic Chernozems / Haplic Kastanozems
entic haplorthods,55,Haplic Podzols,entic,haplorthods,,Haplic Podzols
mollic haploxeralfs,55,Haplic Luvisols / Haplic Lixisols,mollic,haploxeralfs,,Haplic Luvisols / Haplic Lixisols
aquultic hapludalfs,53,Haplic Luvisols,aquultic,hapludalfs,,Haplic Luvisols
dystric fluventic eutrochrepts,53,,,eutrochrepts,,
arenic hapludalfs,52,Haplic Luvisols,arenic,hapludalfs,,Haplic Luvisols
dystric fluventic eutrudepts,52,Haplic Cambisols (Eutric),,eutrudepts,,Haplic Cambisols (Eutric)
histic humaquepts,52,,histic,humaquepts,,
pachic haploxerolls,52,Haplic Kastanozems / Haplic Chernozems,pachic,haploxerolls,,Haplic Kastanozems / Haplic Chernozems
humic vitrixerands,51,Vitric Andosols,humic,vitrixerands,,Vitric Andosols
typic endoaquepts,51,Haplic Gleysols,typic,endoaquepts,,Haplic Gleysols
typic haploborolls,51,,typic,haploborolls,,
typic torripsamments,51,Haplic Arenosols,typic,torripsamments,,Haplic Arenosols
albaquic hapludalfs,50,Haplic Luvisols,albaquic,hapludalfs,,Haplic Luvisols
oxyaquic paleudults,50,Haplic Alisols,oxyaquic,paleudults,,Haplic Alisols
typic cryochrepts,50,,typic,cryochrepts,,
typic ustochrepts,50,,typic,ustochrepts,,
argiaquic argialbolls,49,Luvic Phaeozems,argiaquic,argialbolls,,Luvic Phaeozems
typic haploxerolls,49,Haplic Kastanozems / Haplic Chernozems,typic,haploxerolls,,Haplic Kastanozems / Haplic Chernozems
typic ustipsamments,49,Haplic Arenosols,typic,ustipsamments,,Haplic Arenosols
mollic paleudalfs,48,Haplic Luvisols,mollic,paleudalfs,,Haplic Luvisols
fluvaquentic vertic endoaquolls,47,Haplic Phaeozems,,endoaquolls,,Haplic Phaeozems
oxyaquic hapludults,47,Haplic Alisols / Haplic Acrisols,oxyaquic,hapludults,,Haplic Alisols / Haplic Acrisols
ustic calciargids,47,,ustic,calciargids,,
ustic haplocalcids,47,Haplic Calcisols,ustic,haplocalcids,,Haplic Calcisols
vitrandic argixerolls,47,Luvic Chernozems / Haplic Kastanozems,vitrandic,argixerolls,,Luvic Chernozems / Haplic Kastanozems
aeric calciaquolls,46,,aeric,calciaquolls,,
andic dystrudepts,46,Haplic Cambisols (Dystric),andic,dystrudepts,,Haplic Cambisols (Dystric)
aquic calciudolls,46,,aquic,calciudolls,,
glossic fragiudults,46,Haplic Alisols,glossic,fragiudults,,Haplic Alisols
lithic dystrochrepts,46,,lithic,dystrochrepts,,
oxyaquic eutrudepts,46,Haplic Cambisols (Eutric),oxyaquic,eutrudepts,,Haplic Cambisols (Eutric)
oxyaquic haplorthods,46,Haplic Podzols,oxyaquic,haplorthods,,Haplic Podzols
udic haplusterts,46,Haplic Vertisols,udic,haplusterts,,Haplic Vertisols
alfic haplorthods,45,Haplic Podzols,alfic,haplorthods,,Haplic Podzols
aquic paleudalfs,45,Haplic Luvisols,aquic,paleudalfs,,Haplic Luvisols
typic calciargids,45,,typic,calciargids,,
typic natraqualfs,45,Haplic Solonetz,typic,natraqualfs,,Haplic Solonetz
udic haplustolls,45,,udic,haplustolls,,
udollic endoaqualfs,45,Gleyic Luvisols,udollic,endoaqualfs,,Gleyic Luvisols
ustic torripsamments,45,Haplic Arenosols,ustic,torripsamments,,Haplic Arenosols
vertic argiudolls,45,Luvic Phaeozems,vertic,argiudolls,,Luvic Phaeozems
borollic haplargids,44,Haplic Luvisols,borollic,haplargids,,Haplic Luvisols
fragiaquic paleudults,44,Haplic Alisols,fragiaquic,paleudults,,Haplic Alisols
pachic cryoborolls,44,,pachic,cryoborolls,,
typic haplaquepts,44,,typic,haplaquepts,,
udic haplustalfs,44,Haplic Luvisols,udic,haplustalfs,,Haplic Luvisols
ustic torrifluvents,44,Haplic Fluvisols (Eutric),ustic,torrifluvents,,Haplic Fluvisols (Eutric)
albic natraqualfs,43,Haplic Solonetz,albic,natraqualfs,,Haplic Solonetz
mollic endoaqualfs,43,Gleyic Luvisols,mollic,endoaqualfs,,Gleyic Luvisols
pachic udic haploborolls,43,,,haploborolls,,
typic camborthids,42,,typic,camborthids,,
typic fulvudands,42,,typic,fulvudands,,
typic humicryods,42,Haplic Podzols,typic,humicryods,,Haplic Podzols
aquic natrudalfs,41,Haplic Solonetz,aquic,natrudalfs,,Haplic Solonetz
fluventic haplustolls,41,,fluventic,haplustolls,,
lamellic udipsamments,41,Haplic Arenosols,lamellic,udipsamments,,Haplic Arenosols
typic kandiperox,41,,typic,kandiperox,,
ultic palexeralfs,41,Haplic Luvisols / Haplic Lixisols,ultic,palexeralfs,,Haplic Luvisols / Haplic Lixisols
fluvaquentic haplaquolls,40,,fluvaquentic,haplaquolls,,
humic dystrudepts,39,Haplic Cambisols (Dystric),humic,dystrudepts,,Haplic Cambisols (Dystric)
psammentic hapludalfs,39,Haplic Luvisols,psammentic,hapludalfs,,Haplic Luvisols
typic ustorthents,39,Haplic Regosols,typic,ustorthents,,Haplic Regosols
aquic dystrudepts,38,Haplic Cambisols (Dystric),aquic,dystrudepts,,Haplic Cambisols (Dystric)
aridic argiborolls,38,,aridic,argiborolls,,
dystric xeropsamments,38,Haplic Arenosols,dystric,xeropsamments,,Haplic Arenosols
lithic ustic torriorthents,38,Haplic Regosols (Eutric),,torriorthents,,Haplic Regosols (Eutric)
typic humaquepts,38,,typic,humaquepts,,
vertic argiustolls,38,Luvic Chernozems / Haplic Kastanozems,vertic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
xeric haplohumults,38,Haplic Alisols / Haplic Acrisols (Humic),xeric,haplohumults,,Haplic Alisols / Haplic Acrisols (Humic)
aeric albaqualfs,37,Haplic Planosols,aeric,albaqualfs,,Haplic Planosols
calcic haploxerolls,37,Haplic Kastanozems / Haplic Chernozems,calcic,haploxerolls,,Haplic Kastanozems / Haplic Chernozems
calcidic argiustolls,37,Luvic Chernozems / Haplic Kastanozems,calcidic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
mollic endoaquepts,37,Haplic Gleysols,mollic,endoaquepts,,Haplic Gleysols
pachic argiudolls,37,Luvic Phaeozems,pachic,argiudolls,,Luvic Phaeozems
sodic haplusterts,37,Haplic Vertisols,sodic,haplusterts,,Haplic Vertisols
typic endoaquults,37,Haplic Alisols / Gleyic Acrisols,typic,endoaquults,,Haplic Alisols / Gleyic Acrisols
typic pelluderts,37,,typic,pelluderts,,
aeric endoaquepts,35,Haplic Gleysols,aeric,endoaquepts,,Haplic Gleysols
aeric epiaquepts,35,,aeric,epiaquepts,,
Aquic Hapludalfs,35,Haplic Luvisols,Aquic,Hapludalfs,,Haplic Luvisols
cumulic haplaquolls,35,,cumulic,haplaquolls,,
fragic oxyaquic hapludalfs,35,Haplic Luvisols,,hapludalfs,,Haplic Luvisols
humic hapludults,35,Haplic Alisols / Haplic Acrisols,humic,hapludults,,Haplic Alisols / Haplic Acrisols
typic calciustolls,35,,typic,calciustolls,,
typic paleudolls,35,,typic,paleudolls,,
